Surface pressure file

Angle of attack:         0                   
Mach:                    0.8                 
Panels:                  1000                
Full reference surface:  10                  
Lift coefficient:        -5.13489e-06        
Drag coefficient:        0.00418851          
Lift to drag ratio:      -0.00122595         

*** Stat0 - y = 0.25 ***
              x              z             cp
       0.609018       0.044693      -0.202704
       0.578179      0.0472235      -0.225752
       0.547031      0.0496045      -0.250918
       0.515697       0.051808      -0.278181
       0.484302      0.0538055      -0.307941
       0.452969      0.0555695      -0.341321
       0.421821      0.0570725      -0.378759
       0.390982       0.058287      -0.420644
       0.360573       0.059188      -0.469514
       0.330715       0.059752      -0.526487
       0.301524       0.059959      -0.589068
       0.273116      0.0597925      -0.649247
       0.245605      0.0592385       -0.69408
       0.219097      0.0582875      -0.715797
       0.193698      0.0569355      -0.712907
       0.169507      0.0551825      -0.688172
       0.146621       0.053034       -0.65066
        0.12513         0.0505       -0.60682
       0.105117      0.0475935      -0.561747
       0.086664       0.044332      -0.523748
      0.0698415       0.040737      -0.431051
      0.0547165       0.036831      -0.337683
       0.041349       0.032638      -0.226425
       0.029792       0.028183      -0.114193
        0.02009      0.0234905      0.0100628
       0.012282       0.018583       0.176331
      0.0063995       0.013481       0.430145
       0.002465      0.0082025       0.789838
      0.0004935      0.0027605        1.11745
      0.0004935     -0.0027605        1.11743
       0.002465     -0.0082025       0.789794
      0.0063995      -0.013481       0.430093
       0.012282      -0.018583        0.17628
        0.02009     -0.0234905      0.0100143
       0.029792      -0.028183      -0.114241
       0.041349      -0.032638      -0.226475
      0.0547165      -0.036831       -0.33774
      0.0698415      -0.040737      -0.431118
       0.086664      -0.044332      -0.523832
       0.105118     -0.0475935      -0.561849
        0.12513        -0.0505      -0.606946
       0.146621      -0.053034      -0.650806
       0.169507     -0.0551825      -0.688318
       0.193698     -0.0569355      -0.713018
       0.219097     -0.0582875      -0.715834
       0.245605     -0.0592385      -0.694032
       0.273116     -0.0597925       -0.64914
       0.301524      -0.059959      -0.588951
       0.330715      -0.059752      -0.526393
       0.360573      -0.059188      -0.469452
       0.390982      -0.058287      -0.420606
       0.421821     -0.0570725      -0.378737
       0.452969     -0.0555695      -0.341308
       0.484302     -0.0538055      -0.307932
       0.515697      -0.051808      -0.278174
       0.547031     -0.0496045      -0.250912
       0.578179     -0.0472235      -0.225746
       0.609018      -0.044693      -0.202699
       0.639427       -0.04204      -0.178508
       0.669285      -0.039291      -0.152889
       0.698476      -0.036472      -0.125397
       0.726884      -0.033608     -0.0979767
       0.754395     -0.0307235     -0.0715837
       0.780903      -0.027842      -0.046463
       0.806302      -0.024987     -0.0222686
       0.830493      -0.022182    0.000358616
       0.853379     -0.0194505      0.0278518
        0.87487     -0.0168145      0.0565908
       0.894883      -0.014297      0.0875492
       0.913336     -0.0119205       0.121223
       0.930158     -0.0097065       0.156454
       0.945283     -0.0076765       0.191426
       0.958651       -0.00585         0.2267
       0.970208     -0.0042455        0.26245
        0.97991     -0.0028805       0.300091
       0.987718       -0.00177       0.342168
       0.993601      -0.000926       0.391376
       0.997535     -0.0003575       0.451379
       0.999507      -7.15e-05        0.48523

*** Stat7 - y = 3.75 ***
              x              z             cp
       0.999507       7.15e-05       0.485667
       0.997535      0.0003575       0.451849
         0.9936       0.000926       0.391908
       0.987718        0.00177       0.342759
        0.97991      0.0028805       0.300746
       0.970208      0.0042455       0.263176
       0.958651        0.00585       0.227509
       0.945283      0.0076765       0.192331
       0.930158      0.0097065        0.15747
       0.913336      0.0119205       0.122364
       0.894883       0.014297      0.0888332
       0.874871      0.0168145      0.0580353
       0.853379      0.0194505      0.0294758
       0.830493       0.022182     0.00218285
       0.806303       0.024987      -0.020223
       0.780903       0.027842     -0.0441711
       0.754395      0.0307235      -0.069019
       0.726884       0.033608     -0.0951107
       0.698476       0.036472      -0.122199
       0.669285       0.039291      -0.149326
       0.639427        0.04204      -0.174545
